DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Jan 1, 2005",Saturday,110,82,57,40,28,40,75,100,136,276,468,599,749,773,833,685,472,455,347,180,127,109,68,73,6882,110,False,North,110,St Louis
"Jan 2, 2005",Sunday,39,22,17,30,24,30,84,133,127,222,363,498,706,750,764,847,742,601,453,277,213,128,90,77,7237,110,False,North,110,St Louis
"Jan 3, 2005",Monday,38,20,26,19,34,77,162,313,400,628,828,1015,1171,1177,1194,1242,1237,1020,701,558,386,255,140,92,12733,110,False,North,110,St Louis
"Jan 4, 2005",Tuesday,58,36,33,22,40,117,188,330,409,574,785,925,1109,1117,1112,1174,1185,952,724,538,388,249,130,94,12289,110,False,North,110,St Louis
"Jan 5, 2005",Wednesday,60,24,30,22,36,120,168,357,462,588,786,878,1072,1052,1134,1141,1208,1026,656,472,378,275,147,85,12177,110,False,North,110,St Louis
"Jan 6, 2005",Thursday,50,33,29,30,35,123,179,364,433,541,771,836,1003,1001,1070,1153,1178,958,693,552,419,270,173,108,12002,110,False,North,110,St Louis
"Jan 7, 2005",Friday,53,52,24,20,37,125,165,397,457,608,829,1048,1179,1167,1246,1270,1235,1074,768,620,476,398,153,183,13584,110,False,North,110,St Louis
"Jan 8, 2005",Saturday,82,53,40,24,29,56,138,225,312,486,797,1055,1193,1238,1283,1201,1068,796,677,574,392,360,169,107,12355,110,False,North,110,St Louis
"Jan 9, 2005",Sunday,81,32,50,29,28,41,127,127,171,294,514,654,867,851,782,562,397,297,268,233,197,142,102,53,6899,110,False,North,110,St Louis
"Jan 10, 2005",Monday,47,30,25,27,36,126,180,350,421,573,684,858,978,926,1007,1118,1093,1003,696,377,295,157,128,78,11213,110,False,North,110,St Louis
"Jan 11, 2005",Tuesday,51,34,24,21,41,108,204,374,449,575,824,901,999,1036,1070,1123,1185,982,743,508,342,263,150,94,12101,110,False,North,110,St Louis
"Jan 12, 2005",Wednesday,47,19,32,25,42,113,184,381,426,442,478,559,549,539,554,630,698,535,362,249,237,196,101,81,7479,110,False,North,110,St Louis
"Jan 13, 2005",Thursday,58,31,30,24,49,111,192,379,420,595,669,761,931,874,948,999,1069,890,695,481,370,244,142,80,11042,110,False,North,110,St Louis
"Jan 14, 2005",Friday,45,36,27,27,34,77,153,324,375,481,574,768,902,1019,1050,1137,1116,918,666,454,367,365,213,120,11248,110,False,North,110,St Louis
"Jan 15, 2005",Saturday,54,48,43,26,29,46,85,140,246,359,635,906,1009,1030,1088,1061,922,690,569,451,334,315,159,113,10358,110,False,North,110,St Louis
"Jan 16, 2005",Sunday,86,42,41,29,17,29,67,105,141,286,488,636,649,625,647,759,701,554,464,308,218,151,97,78,7218,110,False,North,110,St Louis
"Jan 17, 2005",Monday,31,22,13,20,35,90,128,306,369,527,657,784,939,1076,1034,1065,1163,877,705,514,381,248,131,74,11189,110,False,North,110,St Louis
"Jan 18, 2005",Tuesday,44,18,19,24,34,111,193,381,441,649,785,971,1034,915,840,865,854,705,493,340,315,222,124,75,10452,110,False,North,110,St Louis
"Jan 19, 2005",Wednesday,57,23,26,31,55,113,187,360,445,496,642,830,901,935,994,1077,1182,987,725,496,426,288,137,88,11501,110,False,North,110,St Louis
"Jan 20, 2005",Thursday,33,34,36,22,47,119,182,387,450,553,672,739,817,818,865,1034,1045,865,677,511,434,282,166,107,10895,110,False,North,110,St Louis
"Jan 21, 2005",Friday,56,57,23,30,38,97,157,363,456,558,717,863,1024,980,973,1010,960,814,509,333,300,254,162,96,10830,110,False,North,110,St Louis
"Jan 22, 2005",Saturday,59,43,38,33,36,71,172,144,220,392,490,643,836,922,1010,927,938,817,627,489,363,297,216,122,9905,110,False,North,110,St Louis
"Jan 23, 2005",Sunday,70,50,44,29,27,49,157,123,167,332,551,756,857,893,872,745,595,543,400,298,219,162,107,70,8116,110,False,North,110,St Louis
"Jan 24, 2005",Monday,47,20,16,24,36,104,152,346,406,591,764,921,1048,1008,1056,1138,1165,919,744,495,390,240,154,90,11874,110,False,North,110,St Louis
"Jan 25, 2005",Tuesday,46,28,22,27,42,122,188,360,454,568,691,891,1027,966,979,1046,1108,910,689,505,407,284,138,85,11583,110,False,North,110,St Louis
"Jan 26, 2005",Wednesday,49,21,22,21,46,116,171,375,477,565,698,824,986,950,1052,1100,1148,974,693,513,422,302,142,87,11754,110,False,North,110,St Louis
"Jan 27, 2005",Thursday,47,41,33,20,39,117,174,372,426,605,794,913,1090,1067,1079,1103,1214,1004,713,592,462,279,175,99,12458,110,False,North,110,St Louis
"Jan 28, 2005",Friday,58,28,42,13,40,85,172,378,464,656,910,1066,1240,1186,1174,1308,1282,1055,827,618,501,366,204,129,13802,110,False,North,110,St Louis
"Jan 29, 2005",Saturday,77,40,66,40,35,48,86,174,330,567,812,1011,1188,1189,1261,1221,1063,880,701,542,371,289,202,136,12329,110,False,North,110,St Louis
"Jan 30, 2005",Sunday,88,46,64,25,23,29,80,131,187,342,589,780,958,1067,939,888,800,604,476,334,230,172,109,73,9034,110,False,North,110,St Louis
"Jan 31, 2005",Monday,29,21,23,24,38,116,160,401,402,605,711,894,1040,1023,995,1173,1224,991,700,536,418,254,151,90,12019,110,False,North,110,St Louis
"Jan 1, 2005",Saturday,67,57,38,27,25,35,78,85,127,242,367,541,621,709,760,650,523,467,404,278,191,142,112,73,6619,110,False,South,110,St Louis
"Jan 2, 2005",Sunday,36,32,28,25,30,38,83,92,124,183,342,466,562,697,723,813,801,700,584,352,273,216,138,91,7429,110,False,South,110,St Louis
"Jan 3, 2005",Monday,48,24,20,23,43,101,353,614,543,625,798,911,1028,1094,1034,1077,1003,842,672,559,445,322,181,124,12484,110,False,South,110,St Louis
"Jan 4, 2005",Tuesday,56,32,22,31,33,114,364,642,546,618,738,857,983,999,964,978,992,976,677,519,380,291,156,110,12078,110,False,South,110,St Louis
"Jan 5, 2005",Wednesday,41,21,27,22,30,112,339,688,541,570,710,883,897,962,1010,936,973,904,666,523,389,325,204,107,11880,110,False,South,110,St Louis
"Jan 6, 2005",Thursday,52,29,30,22,41,96,341,674,533,578,661,845,933,888,961,950,982,911,662,517,396,300,202,120,11724,110,False,South,110,St Louis
"Jan 7, 2005",Friday,47,35,31,28,36,103,348,659,582,630,771,880,1059,1074,1069,1025,1055,978,851,588,491,423,269,167,13199,110,False,South,110,St Louis
"Jan 8, 2005",Saturday,98,42,25,24,21,34,103,163,301,511,654,953,1044,1111,1167,1124,1062,898,756,508,415,352,203,169,11738,110,False,South,110,St Louis
"Jan 9, 2005",Sunday,83,37,29,16,20,38,80,106,166,282,456,591,766,754,762,613,431,367,316,275,232,167,147,96,6830,110,False,South,110,St Louis
"Jan 10, 2005",Monday,58,36,24,36,46,117,355,674,531,541,710,764,902,944,861,920,888,809,645,460,367,276,189,100,11253,110,False,South,110,St Louis
"Jan 11, 2005",Tuesday,68,38,27,26,34,118,357,706,562,599,759,827,947,911,883,925,1004,877,714,552,470,311,182,126,12023,110,False,South,110,St Louis
"Jan 12, 2005",Wednesday,54,33,30,32,38,120,344,639,528,481,546,521,536,534,530,539,534,456,376,294,229,200,157,91,7842,110,False,South,110,St Louis
"Jan 13, 2005",Thursday,68,40,41,27,43,110,348,661,554,564,665,723,879,887,858,886,972,842,649,498,383,257,178,114,11247,110,False,South,110,St Louis
"Jan 14, 2005",Friday,53,26,26,35,36,110,312,559,434,476,598,713,909,936,959,968,1000,870,715,471,351,360,214,133,11264,110,False,South,110,St Louis
"Jan 15, 2005",Saturday,86,41,31,26,24,40,116,130,241,343,561,804,931,1006,1052,958,913,876,625,470,357,314,205,125,10275,110,False,South,110,St Louis
"Jan 16, 2005",Sunday,82,27,33,18,25,29,73,70,142,242,402,536,575,606,631,741,763,626,560,325,273,203,123,98,7203,110,False,South,110,St Louis
"Jan 17, 2005",Monday,72,23,31,23,35,78,257,542,432,489,605,801,920,987,1067,1120,1046,889,693,483,424,323,175,84,11599,110,False,South,110,St Louis
"Jan 18, 2005",Tuesday,62,19,18,23,41,106,357,705,601,700,852,834,948,921,748,681,708,659,459,329,292,275,194,92,10624,110,False,South,110,St Louis
"Jan 19, 2005",Wednesday,54,31,26,39,50,103,341,714,557,572,649,726,856,934,866,907,992,933,733,509,422,345,204,124,11687,110,False,South,110,St Louis
"Jan 20, 2005",Thursday,63,22,24,37,28,112,373,708,599,601,633,644,773,788,784,823,976,781,675,521,411,354,203,139,11072,110,False,South,110,St Louis
"Jan 21, 2005",Friday,81,50,30,50,48,90,340,695,548,616,711,822,890,892,872,800,805,666,524,339,291,285,185,102,10732,110,False,South,110,St Louis
"Jan 22, 2005",Saturday,82,37,31,36,40,44,106,143,238,341,416,594,798,887,944,1080,958,829,747,572,439,377,203,190,10132,110,False,South,110,St Louis
"Jan 23, 2005",Sunday,94,53,38,29,23,51,77,119,152,320,491,644,796,933,884,905,811,656,494,374,274,206,138,92,8654,110,False,South,110,St Louis
"Jan 24, 2005",Monday,54,19,29,27,46,105,361,703,545,650,764,932,925,916,902,925,1031,867,622,554,411,290,170,99,11947,110,False,South,110,St Louis
"Jan 25, 2005",Tuesday,64,30,17,26,36,119,367,736,558,638,704,822,890,865,866,887,919,804,731,490,393,351,169,92,11574,110,False,South,110,St Louis
"Jan 26, 2005",Wednesday,48,26,23,27,43,110,358,714,625,639,686,752,870,816,841,867,946,898,637,505,452,345,185,127,11540,110,False,South,110,St Louis
"Jan 27, 2005",Thursday,54,26,30,36,37,117,323,738,600,629,718,830,865,973,930,946,945,917,700,557,452,357,188,137,12105,110,False,South,110,St Louis
"Jan 28, 2005",Friday,60,29,24,29,40,107,343,687,583,730,803,961,1128,1067,1017,1113,951,971,769,667,493,483,263,170,13488,110,False,South,110,St Louis
"Jan 29, 2005",Saturday,95,40,31,27,28,46,106,157,294,428,687,896,1009,1059,1104,1173,1143,999,799,608,478,352,216,180,11955,110,False,South,110,St Louis
"Jan 30, 2005",Sunday,99,58,40,22,20,31,79,114,159,329,522,668,818,936,984,902,866,735,563,360,284,222,137,85,9033,110,False,South,110,St Louis
"Jan 31, 2005",Monday,53,24,25,27,56,113,374,728,538,661,710,824,960,928,905,910,955,910,739,486,442,329,173,84,11954,110,False,South,110,St Louis
"Feb 1, 2005",Tuesday,47,22,32,15,46,118,174,360,412,636,744,878,940,944,1002,1152,1209,951,723,538,433,251,140,90,11857,110,False,North,110,St Louis
"Feb 2, 2005",Wednesday,58,18,34,13,42,111,194,386,457,646,764,922,1006,1086,1048,1124,1221,1054,794,591,493,265,144,102,12573,110,False,North,110,St Louis
"Feb 3, 2005",Thursday,36,37,30,27,44,108,204,368,442,694,787,963,1114,993,1080,1160,1258,1130,767,576,476,364,173,104,11942,110,False,North,110,St Louis
"Feb 4, 2005",Friday,70,39,36,17,33,77,171,397,443,706,883,1047,1323,1295,1250,1364,1337,1125,958,741,568,510,220,151,14761,110,False,North,110,St Louis
"Feb 5, 2005",Saturday,73,64,69,21,27,63,167,236,321,574,913,1051,1231,1294,1298,1311,1166,973,753,624,401,404,203,150,13387,110,False,North,110,St Louis
