DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction
"Jan 1, 2012",Sunday,5,4,0,0,0,1,1,0,3,2,1,9,8,8,9,6,10,9,7,1,3,1,1,3,92,51,False,East
"Jan 2, 2012",Monday,1,0,0,0,0,0,4,1,8,8,7,10,13,9,9,10,7,5,9,1,5,1,1,0,109,51,False,East
"Jan 3, 2012",Tuesday,1,0,0,0,0,0,2,6,5,3,8,13,8,9,10,12,11,10,3,8,2,0,1,0,112,51,False,East
"Jan 4, 2012",Wednesday,2,0,0,1,0,1,0,8,5,4,8,15,11,9,9,11,11,12,4,8,8,3,2,2,134,51,False,East
"Jan 5, 2012",Thursday,2,0,0,0,0,1,2,8,5,4,9,7,16,10,17,8,10,11,8,7,3,9,2,1,140,51,False,East
"Jan 6, 2012",Friday,0,1,0,0,0,0,2,3,10,5,11,11,14,10,13,10,10,6,6,7,6,5,4,0,134,51,False,East
"Jan 7, 2012",Saturday,0,1,0,0,0,0,3,2,6,2,6,18,9,13,5,12,5,13,6,2,5,5,3,2,118,51,False,East
"Jan 8, 2012",Sunday,2,0,0,0,0,0,2,0,2,7,8,9,10,10,16,11,9,7,7,5,2,2,1,0,110,51,False,East
"Jan 9, 2012",Monday,0,0,0,0,1,0,4,4,7,3,10,7,11,12,5,14,9,9,6,8,2,5,0,2,119,51,False,East
"Jan 10, 2012",Tuesday,2,0,0,0,0,0,4,4,5,7,5,12,5,10,8,13,6,16,5,4,4,7,5,0,122,51,False,East
"Jan 11, 2012",Wednesday,1,0,0,0,0,0,2,3,5,4,4,5,14,6,7,12,8,12,4,6,2,2,1,1,99,51,False,East
"Jan 12, 2012",Thursday,0,0,0,0,0,1,1,4,5,4,4,7,10,7,11,11,10,6,7,4,1,1,4,0,98,51,False,East
"Jan 13, 2012",Friday,0,1,0,0,0,0,2,4,3,7,8,8,11,7,3,14,13,10,7,6,8,3,4,4,123,51,False,East
"Jan 14, 2012",Saturday,0,0,0,0,0,0,1,1,5,4,5,7,10,9,12,4,8,14,9,4,4,0,5,0,102,51,False,East
"Jan 15, 2012",Sunday,3,1,0,0,0,1,0,2,2,3,10,13,5,4,8,6,9,12,7,3,0,5,0,1,95,51,False,East
"Jan 16, 2012",Monday,0,0,0,0,0,0,1,8,11,9,9,8,9,11,10,9,12,9,4,6,4,3,3,3,129,51,False,East
"Jan 17, 2012",Tuesday,0,0,0,0,1,0,1,7,3,2,4,8,8,4,8,11,11,7,3,4,3,8,0,0,93,51,False,East
"Jan 18, 2012",Wednesday,0,0,0,0,0,0,2,6,4,4,7,5,6,9,5,10,6,7,5,8,4,0,0,0,88,51,False,East
"Jan 19, 2012",Thursday,0,0,0,0,0,0,1,4,2,2,3,8,11,6,9,3,8,8,12,2,2,2,2,1,86,51,False,East
"Jan 20, 2012",Friday,2,0,0,1,0,0,2,6,7,5,14,17,7,6,7,14,10,9,6,3,3,3,3,4,129,51,False,East
"Jan 21, 2012",Saturday,1,2,0,0,0,0,1,2,5,6,6,12,16,6,9,7,4,8,7,4,2,5,3,3,109,51,False,East
"Jan 22, 2012",Sunday,2,2,0,0,0,0,0,0,2,6,8,4,7,8,9,7,7,8,5,3,2,0,1,0,81,51,False,East
"Jan 23, 2012",Monday,0,0,0,0,1,0,6,5,9,9,12,9,6,7,16,12,9,8,6,4,4,4,2,1,130,51,False,East
"Jan 24, 2012",Tuesday,0,0,0,0,0,0,1,6,9,9,5,7,5,5,6,14,6,9,5,5,4,2,2,1,101,51,False,East
"Jan 25, 2012",Wednesday,0,0,1,0,0,0,4,4,6,7,8,7,7,5,10,12,5,6,4,8,12,2,4,0,112,51,False,East
"Jan 26, 2012",Thursday,0,0,0,0,1,0,2,15,8,7,6,8,7,6,5,13,7,9,12,7,0,7,1,1,122,51,False,East
"Jan 27, 2012",Friday,0,1,0,0,0,0,0,2,7,5,5,5,12,10,14,15,7,11,11,5,5,9,5,1,130,51,False,East
"Jan 28, 2012",Saturday,3,2,0,1,0,0,0,1,3,8,11,11,9,7,12,20,14,12,6,3,3,5,0,2,133,51,False,East
"Jan 29, 2012",Sunday,0,2,0,0,0,0,1,3,5,2,12,9,9,13,7,5,10,13,8,1,1,4,3,2,110,51,False,East
"Jan 30, 2012",Monday,1,0,0,0,0,0,0,4,6,10,6,5,6,8,7,14,8,9,4,9,3,1,2,0,103,51,False,East
"Jan 31, 2012",Tuesday,0,0,0,1,0,0,0,5,5,4,15,8,7,6,10,13,10,11,3,6,2,4,1,3,114,51,True,East
"Jan 1, 2012",Sunday,4,3,4,2,0,1,2,2,5,7,6,8,4,10,8,12,10,6,8,6,2,2,2,2,116,51,False,West
"Jan 2, 2012",Monday,0,0,0,0,0,1,0,3,6,14,13,10,12,15,8,6,14,9,9,4,0,0,0,0,124,51,False,West
