DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2012",Sunday,1069,1144,880,490,278,321,534,591,1009,1895,2621,2843,2095,2191,2164,2352,2530,2864,2062,1674,1386,1361,1064,695,36113,326,False,East,326,Hennepin,False
"Jan 2, 2012",Monday,432,248,170,136,186,444,976,1427,1446,1827,2195,2513,2692,3037,3166,3127,3026,2879,3060,2150,1712,1562,1165,665,40241,326,False,East,326,Hennepin,False
"Jan 3, 2012",Tuesday,332,200,127,153,357,1248,3620,4997,4924,3748,3251,3228,3377,3749,3733,4212,4694,4294,3607,2622,2104,1867,1296,860,62600,326,False,East,326,Hennepin,False
"Jan 4, 2012",Wednesday,429,287,295,173,372,1275,3649,5186,5090,4183,3504,3568,3696,3935,3897,4310,4723,4326,4801,3286,2187,2037,1503,890,67602,326,False,East,326,Hennepin,False
"Jan 5, 2012",Thursday,441,307,296,162,373,1311,3667,5237,5087,4463,3722,3818,3872,4036,4139,4387,4832,4283,4177,2930,2346,2069,1589,994,68538,326,False,East,326,Hennepin,False
"Jan 6, 2012",Friday,522,349,302,196,364,1294,3566,5222,5251,4365,3636,3993,4034,4276,4199,4657,4786,4203,4840,3517,2368,2380,2179,1404,71903,326,False,East,326,Hennepin,False
"Jan 7, 2012",Saturday,850,593,520,267,220,379,945,1611,2252,2931,3302,3205,3590,3528,3495,3348,3420,3424,3668,2783,2269,2215,2230,1486,52531,326,False,East,326,Hennepin,False
"Jan 8, 2012",Sunday,947,615,486,239,151,250,591,909,1556,2339,2530,2754,2940,3209,3158,3207,3661,2806,2498,2016,1764,1446,1089,601,41762,326,False,East,326,Hennepin,False
"Jan 9, 2012",Monday,310,145,135,173,327,1359,3766,5269,5042,4129,3399,3523,3478,3648,3964,4400,4727,4401,3682,2736,2105,1808,1300,781,64607,326,False,East,326,Hennepin,False
"Jan 10, 2012",Tuesday,409,238,254,171,332,1327,3866,5293,5167,4448,3685,3720,3872,3967,4124,4631,4831,4294,4547,2975,2287,2022,1422,850,68732,326,False,East,326,Hennepin,False
"Jan 11, 2012",Wednesday,401,254,264,169,347,1301,3802,5415,5213,4381,3565,3799,3596,3847,3988,4440,4891,4578,3804,2784,2273,2019,1426,840,67397,326,False,East,326,Hennepin,False
"Jan 12, 2012",Thursday,424,304,319,222,480,1431,3867,5572,5209,4395,3762,3706,3782,4142,4005,4517,4802,4598,4002,2903,2455,2202,1559,972,69630,326,False,East,326,Hennepin,False
"Jan 13, 2012",Friday,439,317,303,206,339,1273,3576,5128,5144,4332,3650,4137,4031,4085,4314,4663,4822,4451,4579,3299,2260,2305,2046,1486,71185,326,False,East,326,Hennepin,False
"Jan 14, 2012",Saturday,906,528,387,188,217,381,855,1471,2313,3171,3356,3403,3631,3568,3446,3339,3305,3280,3147,2541,1799,1963,1960,1532,50687,326,False,East,326,Hennepin,False
"Jan 15, 2012",Sunday,920,519,469,197,170,257,606,836,1546,2395,2738,2780,3048,3032,3270,3184,2997,2910,2631,2348,1735,1562,1231,720,42101,326,False,East,326,Hennepin,False
"Jan 16, 2012",Monday,424,189,174,158,297,1118,2754,3813,3644,3304,3168,3538,3621,4045,4076,4197,4389,4582,4168,2563,1995,1855,1347,715,60134,326,False,East,326,Hennepin,False
"Jan 17, 2012",Tuesday,367,252,265,170,359,1270,3626,4068,4340,4063,3544,3581,3682,3851,4027,4416,4931,4590,3933,2768,2304,2024,1434,794,64659,326,False,East,326,Hennepin,False
"Jan 18, 2012",Wednesday,380,237,269,163,357,1277,3823,5369,4841,4453,3612,3976,3799,4136,4133,4601,5000,4401,4478,2814,2225,2087,1419,795,68645,326,False,East,326,Hennepin,False
"Jan 19, 2012",Thursday,382,277,264,180,334,1298,3748,5243,4611,4473,3601,3793,3877,4102,4065,4499,4278,4188,4529,3000,2407,2177,1499,885,67710,326,False,East,326,Hennepin,False
"Jan 20, 2012",Friday,444,303,315,179,364,1220,3323,3556,2869,2998,2796,2681,3155,3232,3537,3677,3838,3608,3973,3389,2409,2232,1970,1435,57503,326,False,East,326,Hennepin,False
"Jan 21, 2012",Saturday,797,541,415,216,211,368,872,1591,2613,3091,3464,3617,3861,3831,3959,3808,4033,3965,4032,3254,2214,2209,2164,1505,56631,326,False,East,326,Hennepin,False
"Jan 22, 2012",Sunday,952,574,487,218,156,246,710,730,1487,2376,2543,2735,3086,3604,3455,2750,2695,2624,2390,1821,1532,1265,1139,543,40118,326,False,East,326,Hennepin,False
"Jan 23, 2012",Monday,250,147,131,160,343,1132,2851,2792,2739,3202,2675,2857,3059,3277,3339,4005,4284,4248,3931,2523,2007,1787,1238,718,53695,326,False,East,326,Hennepin,False
"Jan 24, 2012",Tuesday,407,260,264,182,343,1286,3882,5029,4811,4381,3475,3706,3745,3695,4098,4450,4690,4482,3863,2798,2312,2025,1360,811,66355,326,False,East,326,Hennepin,False
"Jan 25, 2012",Wednesday,429,270,278,173,349,1347,3716,4925,4650,4410,3587,3699,3672,3901,3947,4461,4752,4294,4064,2958,2335,2082,1486,896,66681,326,False,East,326,Hennepin,False
"Jan 26, 2012",Thursday,448,319,310,200,349,1332,3769,4869,4949,4387,3605,3880,3872,3992,4171,4565,4689,4232,4413,3221,2559,2194,1645,992,68962,326,False,East,326,Hennepin,False
"Jan 27, 2012",Friday,494,318,319,222,361,1289,3599,5169,4976,4177,3733,4034,4035,3990,4164,4275,4240,4646,4805,3231,2278,2360,2021,1449,70185,326,False,East,326,Hennepin,False
"Jan 28, 2012",Saturday,837,558,448,213,199,384,954,1912,2860,3236,3586,3605,3922,3929,3643,3607,4132,4613,4568,3082,2313,2033,2045,1532,58211,326,False,East,326,Hennepin,False
"Jan 29, 2012",Sunday,901,582,439,200,164,285,629,1020,1716,2638,2834,3081,3234,3440,3502,3489,3976,4211,2770,1989,1842,1473,1113,573,46101,326,False,East,326,Hennepin,False
"Jan 30, 2012",Monday,291,157,139,185,337,1326,3759,5255,4856,3979,3384,3395,3388,3679,3937,4255,4797,4464,3646,2651,2180,1808,1292,708,63868,326,False,East,326,Hennepin,False
"Jan 31, 2012",Tuesday,389,276,277,161,353,1314,3929,5323,5078,4343,3580,3771,3840,4008,4023,4521,4820,4609,4148,2826,2291,2038,1434,821,68173,326,False,East,326,Hennepin,False
"Jan 1, 2012",Sunday,1437,1586,1403,750,410,320,428,579,797,1140,1884,2803,2841,2479,2231,3415,2714,2167,1714,1475,1919,1482,1024,708,37706,326,False,West,326,Hennepin,False
"Jan 2, 2012",Monday,473,330,338,193,220,405,843,1386,1530,1840,2211,2808,3116,3180,3091,3087,2977,2628,2185,1772,1586,2297,1212,787,40495,326,False,West,326,Hennepin,False
"Jan 3, 2012",Tuesday,433,297,231,179,428,1218,2881,5664,5120,3298,3021,3449,3982,3915,4202,5155,5685,5918,4573,2777,1980,1808,1269,868,68351,326,False,West,326,Hennepin,False
"Jan 4, 2012",Wednesday,492,364,295,198,470,1232,2915,5612,5421,3638,3335,3840,4062,4099,4097,4369,5628,5865,4911,2994,2361,2769,2346,994,72307,326,False,West,326,Hennepin,False
