Hennepin,1232483
Ramsey,540649
Dakota,417486
Anoka,345957
Washington,253117
St Louis,199980
Stearns,155652
Olmsted,153102
Scott,143680
Wright,132550
Carver,100262
Sherburne,93528
BlueEarth,66441
Rice,65622
Crow Wing,63940
Clay,62875
Ottertail,58085
Chisago,54748
Winona,50948
Goodhue,46676
Beltrami,46106
Itasca,45242
Kandiyohi,42495
Benton,39992
Mower,39163
Isanti,39025
Douglas,37456
Steele,36805
McLeod,35842
Carlton,35738
Becker,33734
Nicollet,33575
Morrison,32821
Polk,31660
Freeborn,30446
Cass,28993
Pine,28874
LeSueur,27591
Mille Lacs,25866
Lyon,25699
Brown,25331
Todd,24233
Meeker,23110
Nobles,21848
Wabasha,21273
Fillmore,21003
Hubbard,20718
Dodge,20506
Martin,19829
Waseca,18911
Houston,18814
Kanabec,15830
Roseau,15626
Aitkin,15583
Redwood,15263
Sibley,14827
Renville,14660
Pennington,14235
Faribault,13935
Wadena,13761
Koochiching,12628
Chippewa,12133
Cottonwood,11470
Pope,11049
Watonwan,10908
Lake,10625
Jackson,9944
YellowMedicine,9935
Stevens,9693
Rock,9564
Swift,9419
Marshall,9324
Pipestone,9202
Clearwater,8827
Murray,8329
LacquiParle,6715
Norman,6579
Wilkin,6358
Grant,5956
Lincoln,5783
Mahnomen,5465
Cook,5286
BigStone,5050
Kittson,4333
RedLake,4007
LakeoftheWoods,3814
Traverse,3356
